ID,HMIVer,VisionVer,RobotVer,OPRun,Date,Time,BatchNumber,BarcodeNumber,TestStartTime,TestEndTime,TimeTest,Result,MTF_At,Diopter_At,L_Sag_SFR1,L_Sag_BFD1,L_Tan_SFR1,L_Tan_BFD1,L_Sag_SFR2,L_Sag_BFD2,L_Tan_SFR2,L_Tan_BFD2,L_Sag_SFR3,L_Sag_BFD3,L_Tan_SFR3,L_Tan_BFD3,L_Sag_SFR4,L_Sag_BFD4,L_Tan_SFR4,L_Tan_BFD4,L_Sag_SFR5,L_Sag_BFD5,L_Tan_SFR5,L_Tan_BFD5,L_Sag_SFR6,L_Sag_BFD6,L_Tan_SFR6,L_Tan_BFD6,L_Sag_SFR7,L_Sag_BFD7,L_Tan_SFR7,L_Tan_BFD7,L_Sag_SFR8,L_Sag_BFD8,L_Tan_SFR8,L_Tan_BFD8,L_Sag_SFR9,L_Sag_BFD9,L_Tan_SFR9,L_Tan_BFD9,R_Sag_SFR10,R_Sag_BFD10,R_Tan_SFR10,R_Tan_BFD10,R_Sag_SFR11,R_Sag_BFD11,R_Tan_SFR11,R_Tan_BFD11,R_Sag_SFR12,R_Sag_BFD12,R_Tan_SFR12,R_Tan_BFD12,R_Sag_SFR13,R_Sag_BFD13,R_Tan_SFR13,R_Tan_BFD13,R_Sag_SFR14,R_Sag_BFD14,R_Tan_SFR14,R_Tan_BFD14,R_Sag_SFR15,R_Sag_BFD15,R_Tan_SFR15,R_Tan_BFD15,R_Sag_SFR16,R_Sag_BFD16,R_Tan_SFR16,R_Tan_BFD16,R_Sag_SFR17,R_Sag_BFD17,R_Tan_SFR17,R_Tan_BFD17,R_Sag_SFR18,R_Sag_BFD18,R_Tan_SFR18,R_Tan_BFD18
26,1.0.0.1,3.4.0.0,0.0.0.1,Operator,06/29/2022,06:12:25,dsad,dasd,06:12:25,06:15:22,176.707419,Pass,20,-5.8,119.75,53.7372,117,53.7372,121.08,53.7372,116.36,53.7372,121.95,53.7372,117.61,53.7372,122.45,53.7372,118.86,53.7372,120.27,53.7372,117.75,53.7372,119.19,53.7372,117.9,53.7372,121.87,53.7372,116.92,53.7372,121.16,53.7372,117.81,53.7372,119.25,53.7372,117.11,53.7372,120.49,53.7372,114.59,53.7372,119.41,53.7372,119.41,53.7372,119.28,53.7372,116.99,53.7372,120.01,53.7372,118.17,53.7372,117.5,53.7372,117.35,53.7372,120,53.7372,117.76,53.7372,119.75,53.7372,117.27,53.7372,117.37,53.7372,117.48,53.7372,124.27,53.7372,119.33,53.7372
27,1.0.0.1,3.4.0.0,0.0.0.1,Operator,06/29/2022,06:21:32,dsad,dasd,06:21:32,06:25:45,253.3689664,Pass,20,-5.8,118.51,53.7372,118.72,53.7372,118.63,53.7372,117.04,53.7372,119.13,53.7372,118.68,53.7372,118.78,53.7372,117.19,53.7372,118.84,53.7372,117.62,53.7372,116.73,53.7372,119.01,53.7372,119.26,53.7372,118.12,53.7372,119.55,53.7372,118.78,53.7372,118.17,53.7372,117.98,53.7372,119.65,53.7372,117.06,53.7372,118.4,53.7372,119.1,53.7372,117.62,53.7372,117.68,53.7372,119.38,53.7372,117.31,53.7372,118.96,53.7372,115.95,53.7372,118.66,53.7372,119.43,53.7372,119.71,53.7372,118.64,53.7372,116.65,53.7372,116.13,53.7372,119.97,53.7372,115.77,53.7372
28,1.0.0.1,3.4.0.0,0.0.0.1,Operator,06/29/2022,06:31:09,das,da,06:31:09,06:34:18,189.2308115,Pass,20,-5.8,118.71,53.7372,116.18,53.7372,116.89,53.7372,117.67,53.7372,119.17,53.7372,116.47,53.7372,120.8,53.7372,118.8,53.7372,119.71,53.7372,116.77,53.7372,119.99,53.7372,119.05,53.7372,119.44,53.7372,116.24,53.7372,119.33,53.7372,118.44,53.7372,118.65,53.7372,116.91,53.7372,118.69,53.7372,118.04,53.7372,120.96,53.7372,116.27,53.7372,118.93,53.7372,117.23,53.7372,120.2,53.7372,117.38,53.7372,119.94,53.7372,117.93,53.7372,118.37,53.7372,115.13,53.7372,124.38,53.7372,118.59,53.7372,119.16,53.7372,115.75,53.7372,118.79,53.7372,118.49,53.7372
29,1.0.0.1,3.4.0.0,0.0.0.1,Operator,06/29/2022,06:39:06,fdsf,dasdd,06:39:06,06:41:57,170.4699706,Pass,20,-5.8,117.81,53.7372,119.54,53.7372,121.82,53.7372,117.99,53.7372,117.5,53.7372,118.76,53.7372,120.11,53.7372,118.98,53.7372,120.6,53.7372,118.15,53.7372,120.67,53.7372,119.12,53.7372,119.17,53.7372,118.71,53.7372,119.53,53.7372,117.04,53.7372,120.13,53.7372,116.36,53.7372,118.56,53.7372,116.72,53.7372,118.51,53.7372,115.92,53.7372,120.83,53.7372,117.54,53.7372,120.34,53.7372,116.11,53.7372,117.77,53.7372,118.08,53.7372,120.81,53.7372,117.83,53.7372,118.96,53.7372,117.03,53.7372,120.94,53.7372,120.14,53.7372,118.23,53.7372,117.99,53.7372
30,1.0.0.1,3.4.0.0,0.0.0.1,Operator,06/29/2022,08:12:43,wer3,we32,08:12:43,08:15:40,176.7542386,Pass,20,-5.8,119.73,53.7372,117.1,53.7372,119.84,53.7372,117.34,53.7372,119.66,53.7372,117.33,53.7372,120.16,53.7372,117.39,53.7372,121.06,53.7372,115.8,53.7372,122.24,53.7372,117.32,53.7372,120.85,53.7372,117.92,53.7372,119.67,53.7372,116.21,53.7372,120.95,53.7372,115.91,53.7372,120.19,53.7372,119.6,53.7372,122.67,53.7372,119.39,53.7372,120.95,53.7372,119.04,53.7372,121.43,53.7372,118.47,53.7372,119.36,53.7372,120.11,53.7372,118.16,53.7372,117.9,53.7372,121.66,53.7372,117.86,53.7372,119.39,53.7372,116.98,53.7372,120.27,53.7372,117.05,53.7372
31,1.0.0.1,3.4.0.0,0.0.0.1,Operator,06/29/2022,08:30:58,wer3,we32,08:30:58,08:33:40,161.4915792,Pass,20,-5.8,120.64,53.7372,116.99,53.7372,118.51,53.7372,117.68,53.7372,115.38,53.7372,118.84,53.7372,122.27,53.7372,119.85,53.7372,122.19,53.7372,118.02,53.7372,118.88,53.7372,116.29,53.7372,120.14,53.7372,119.69,53.7372,118.99,53.7372,118.11,53.7372,120.61,53.7372,115.34,53.7372,120.97,53.7372,118.31,53.7372,120.2,53.7372,118.08,53.7372,118.94,53.7372,119.03,53.7372,120.08,53.7372,118.03,53.7372,121.13,53.7372,118.15,53.7372,119.06,53.7372,118.1,53.7372,121.2,53.7372,116.08,53.7372,119.75,53.7372,119.24,53.7372,121.51,53.7372,116.26,53.7372
32,1.0.0.1,3.4.0.0,0.0.0.1,a,06/29/2022,09:04:46,sssss3,sssss3,09:04:46,09:07:38,171.9889087,Pass,20,-5.8,119.23,53.7372,117.27,53.7372,121.06,53.7372,116.86,53.7372,119.78,53.7372,119.29,53.7372,117.48,53.7372,118.05,53.7372,119.98,53.7372,118.02,53.7372,119.89,53.7372,116.12,53.7372,118.95,53.7372,118.34,53.7372,118.64,53.7372,117.43,53.7372,119.02,53.7372,118.35,53.7372,120.02,53.7372,118.45,53.7372,119.39,53.7372,117,53.7372,120.29,53.7372,118.24,53.7372,116.44,53.7372,117.53,53.7372,117.44,53.7372,117.92,53.7372,118.1,53.7372,118.2,53.7372,119.13,53.7372,116.21,53.7372,118.58,53.7372,116.93,53.7372,120.88,53.7372,117.5,53.7372
33,1.0.0.1,3.4.0.0,0.0.0.1,Operator,06/29/2022,09:35:12,ddsaw,123s,09:35:12,09:38:07,174.7601044,Pass,20,-5.8,119.03,53.7372,115.83,53.7372,118.92,53.7372,119.18,53.7372,119.19,53.7372,117.44,53.7372,119.64,53.7372,117.71,53.7372,120.22,53.7372,117.7,53.7372,117.63,53.7372,115.96,53.7372,121.9,53.7372,116.52,53.7372,118.87,53.7372,120.17,53.7372,120.16,53.7372,116.57,53.7372,118.44,53.7372,117.92,53.7372,121.68,53.7372,119.55,53.7372,121.9,53.7372,117.92,53.7372,118.42,53.7372,118.55,53.7372,120.92,53.7372,117.8,53.7372,121.64,53.7372,119.3,53.7372,118.42,53.7372,117.95,53.7372,119.42,53.7372,120.65,53.7372,120.19,53.7372,116.46,53.7372
34,1.0.0.1,3.4.0.0,0.0.0.1,a,06/29/2022,10:19:06,ww,21,10:19:06,10:21:42,155.6499773,Pass,20,-14,111.34,73.286,112.24,73.286,111.84,73.286,111.77,73.286,112.25,73.286,112.97,73.286,114.83,73.286,113.44,73.286,110.62,73.286,112.46,73.286,113.96,73.286,113.48,73.286,113.52,73.286,112.69,73.286,113.57,73.286,113.84,73.286,113.5,73.286,111.85,73.286,112.19,73.286,112,73.286,112.19,73.286,113.47,73.286,113.16,73.286,112.54,73.286,112.96,73.286,112.74,73.286,112.81,73.286,113.11,73.286,111.88,73.286,113.35,73.286,112.99,73.286,112.96,73.286,112.98,73.286,112.76,73.286,114.04,73.286,112.82,73.286
35,1.0.0.1,3.4.0.0,0.0.0.1,Operator,06/29/2022,11:52:02,testwwithRealDuT3,testwwithRealDuT3,11:52:02,11:56:29,266.6090598,Pass,20,-14,111.92,73.286,112.02,73.286,111.42,73.286,112.54,73.286,112.63,73.286,111.25,73.286,112.61,73.286,112.79,73.286,111.22,73.286,113.06,73.286,111.5,73.286,112.44,73.286,112.36,73.286,112.55,73.286,112.14,73.286,111.51,73.286,112.07,73.286,111.04,73.286,111.66,73.286,112.39,73.286,114.38,73.286,112.08,73.286,111.98,73.286,111.53,73.286,112.45,73.286,112.59,73.286,113.19,73.286,112.54,73.286,111.8,73.286,111.61,73.286,112.24,73.286,112.18,73.286,111.52,73.286,112.8,73.286,114.42,73.286,111.65,73.286
